symbol,marcap,3month_performance,avgvol_10,avgvol_30,avgvol_60,avgvol_90
PBHDPRESTIGE CONSUMER HEALTHCARE INC.,,,,,,,
49.902.491B15.382.683.283.2511.023.709B49.911M9.02%240.862K241.632K271.778K439.573K,,,,,,,
JJSFDJ & J SNACK FOODS CORP.,,,,,,,
180.093.428B2039.323.560.090.9628.782.813B19.036M9.02%88.403K107.547K105.98K105.145K,,,,,,,
Q,,,,,,,
QRTEADLIBERTY INTERACTIVE CORPORATION - SERIES A QVC GROUP COMMON STOCK,,,,,,,
13.435.505B3.890.383.442.865.7612.633B408.917M9.01%2.99M3.565M3.339M3.61M,,,,,,,
MANTDMANTECH INTERNATIONAL CORPORATION,,,,,,,
86.923.529B28.631.413.082.9713.983.677B40.601M9.00%131.353K170.194K160.171K184.585K,,,,,,,
ASHDASHLAND GLOBAL HOLDINGS INC.,,,,,,,
93.705.688B38.772.512.47−8.2011.656.902B60.709M8.99%476.48K528.571K440.548K497.642K,,,,,,,
D,,,,,,,
"DSPGDDSP GROUP, INC.",,,,,,,
16.26393.927M—3.24−0.24−0.29—281.349M24.227M8.98%95.354K170.096K165.624K162.347K,,,,,,,
HNPDHUANENG POWER INTL DR,,,,,,,
14.828.873B7.410.230.050.048.1851.055B117.51M8.97%24.465K24.823K32.096K41.09K,,,,,,,
P,,,,,,,
"PFBIDPREMIER FINANCIAL BANCORP, INC.",,,,,,,
18.71275.329M11.603.351.611.52—296.249M14.716M8.97%26.013K38.817K55.965K51.61K,,,,,,,
S,,,,,,,
SIEBDSIEBERT FINANCIAL CORP.,,,,,,,
4.62144.529M31.062.270.140.10−214.89-970.437M31.283M8.96%171.804K164.498K224.464K874.992K,,,,,,,
S,,,,,,,
"SWIRDSIERRA WIRELESS, INC.",,,,,,,
16.66614.737M—1.15−1.62−0.30—450.253M36.899M8.96%150.982K198.253K215.675K227.668K,,,,,,,
"LODEDCOMSTOCK MINING, INC.",,,,,,,
4.39186.38M6.10803.990.700.49—151.189M42.456M8.93%2.3M1.293M1.434M8.227M,,,,,,,
PPBIDPACIFIC PREMIER BANCORP INC,,,,,,,
46.894.438B63.325.700.740.75—4.56B94.651M8.92%274.66K306.849K337.533K387.992K,,,,,,,
F,,,,,,,
"FNLCDFIRST BANCORP, INC (ME)",,,,,,,
32.36355.523M11.863.712.712.48—529.945M10.987M8.92%13.206K13.681K15.535K16.169K,,,,,,,
"MDUDMDU RESOURCES GROUP, INC.",,,,,,,
33.726.784B16.261.222.081.959.028.717B201.195M8.91%665.182K820.768K1.064M1.034M,,,,,,,
PFGDPRINCIPAL FINANCIAL GROUP INC,,,,,,,
65.5217.822B11.221.365.935.05—21.233B272.012M8.91%1.532M1.393M1.584M1.635M,,,,,,,
MFGPDMICRO FOCUS INTL PLC DR,,,,,,,
7.352.498B—0.82−8.93−8.904.31—335.548M8.89%546.813K562.856K697.58K909.662K,,,,,,,
WRKDWESTROCK COMPANY,,,,,,,
57.9015.408B—0.90−2.76−2.676.9223.281B266.116M8.88%1.493M1.841M1.94M2.179M,,,,,,,
A,,,,,,,
AGMDFEDERAL AGRICULTURAL MORTGAGE CORPORATION,,,,,,,
100.781.076B10.042.3410.048.2752.2922.001B10.762M8.87%27.411K42.058K46.386K48.201K,,,,,,,
"ATVIDACTIVISION BLIZZARD, INC",,,,,,,
97.1275.464B32.678.832.992.8220.0667.144B777.017M8.87%3.743M5.797M5.726M5.768M,,,,,,,
R,,,,,,,
RSFDRIVERNORTH SPECIALTY FINANCE CORPORATION ETF,,,,,,,
19.05104.132M———−1.86——5.466M8.85%38.597K26.163K21.91K20.02K,,,,,,,
"ARLPDALLIANCE RESOURCE PARTNERS, L.P.",,,,,,,
6.29800.058M20.710.630.31−1.022.861.272B127.195M8.82%388.373K576.939K484.619K550.317K,,,,,,,
L,,,,,,,
LSEADLANDSEA HOMES CORPORATION,,,,,,,
9.14423.009M—2.51−0.29−0.12—554.973M46.281M8.81%91.024K93.049K97.664K121.037K,,,,,,,
O,,,,,,,
ORRFDORRSTOWN FINANCIAL SERVICES INC,,,,,,,
25.60288.293M8.822.252.892.40—342.232M11.262M8.80%19.381K33.34K34.516K34.209K,,,,,,,
"FHIDFEDERATED HERMES, INC.",,,,,,,
32.533.204B9.752.173.373.235.693.041B98.487M8.80%741.931K1.004M841.759K798.64K,,,,,,,
J,,,,,,,
JMPDJMP GROUP LLC,,,,,,,
5.69112.961M14.440.770.41−0.24—162.6M19.853M8.80%38.702K84.065K71.585K346.214K,,,,,,,
BNSDBANK NOVA SCOTIA HALIFAX PFD 3,,,,,,,
67.1781.535B13.352.575.123.98—209.785B1.214B8.79%1.298M1.383M1.387M1.398M,,,,,,,
"CFGDCITIZENS FINANCIAL GROUP, INC.",,,,,,,
49.9021.254B14.012.863.582.22—28.125B425.93M8.79%3.923M3.721M4.87M5.081M,,,,,,,
S,,,,,,,
"SBSIDSOUTHSIDE BANCSHARES, INC.",,,,,,,
42.861.397B12.575.163.412.47—2.153B32.588M8.78%94.423K103.726K122.615K132.246K,,,,,,,
H,,,,,,,
"HONEDHARBORONE BANCORP, INC.",,,,,,,
15.24856.109M13.372.531.110.82—833.97M56.175M8.78%271.925K253.021K257.97K258.629K,,,,,,,
C,,,,,,,
"CLDXDCELLDEX THERAPEUTICS, INC.",,,,,,,
28.501.129B—205.74−1.83−2.02—643.501M39.615M8.78%352.935K382.949K597.93K602.803K,,,,,,,
DANDDANA INCORPORATED,,,,,,,
27.173.944B—0.55−0.13−0.218.825.956B145.143M8.77%806.703K911.93K1.055M1.177M,,,,,,,
R,,,,,,,
"RAVEDRAVE RESTAURANT GROUP, INC.",,,,,,,
1.4926.827M43.443.570.04−0.287.8025.913M18.005M8.76%322.018K385.06K473.676K1.046M,,,,,,,
MOG.ADMOOG INC.,,,,,,,
90.492.908B—1.05−0.090.289.003.66B32.143M8.75%82.405K90.88K99.457K102.65K,,,,,,,
APTVDAPTIV PLC,,,,,,,
157.2542.53B94.523.121.706.5322.7339.105B270.463M8.75%1.416M1.352M1.443M1.64M,,,,,,,
D,,,,,,,
"DSWLDDESWELL INDUSTRIES, INC.",,,,,,,
3.9863.343M—1.14−0.07−0.08−2.13—15.915M8.74%8.542K19.628K22.294K23.252K,,,,,,,
G,,,,,,,
"GDYNDGRID DYNAMICS HOLDINGS, INC.",,,,,,,
15.69849.969M—6.84−0.20−0.28—722.598M54.173M8.73%186.725K148.752K135.637K134.908K,,,,,,,
L,,,,,,,
LQDADLIQUIDIA CORPORATION,,,,,,,
2.74142.406M——−2.12−2.57—125.142M51.973M8.73%460.063K418.853K577.307K975.833K,,,,,,,
"WWDDWOODWARD, INC.",,,,,,,
125.297.899B39.903.833.273.7413.668.392B63.044M8.72%251.519K290.117K270.687K271.307K,,,,,,,
E,,,,,,,
EPIXDESSA PHARMA INC.,,,,,,,
31.681.282B——−0.93−1.04——20.844M8.72%278.942K263.229K234.908K315.447K,,,,,,,
NIUDNIU TECHNOLOGIES DR,,,,,,,
33.442.501B96.956.340.180.1571.452.656B65.126M8.71%593.421K632.999K771.487K1.045M,,,,,,,
PKXDPOSCO DR,,,,,,,
76.3723.626B12.340.466.364.275.8533.418B302.502M8.71%205.033K200.554K186.428K192.67K,,,,,,,
A,,,,,,,
"AMPHDAMPHASTAR PHARMACEUTICALS, INC.",,,,,,,
19.52929.842M425.112.530.050.0326.70899.678M47.635M8.69%181.659K176.259K169.8K187.329K,,,,,,,
FLRDFLUOR CORPORATION,,,,,,,
20.162.849B—0.20−1.82−3.106.643.241B141.34M8.68%2.659M3.607M2.811M2.884M,,,,,,,
RPMDRPM INTERNATIONAL INC.,,,,,,,
93.0412.05B27.032.123.522.3416.9112.665B129.511M8.68%405.476K430.111K506.954K536.789K,,,,,,,
LENDLENNAR CORPORATION,,,,,,,
95.7629.249B9.871.289.817.858.7529.333B313.381M8.67%2.126M2.172M2.386M2.518M,,,,,,,
AXTADAXALTA COATING SYSTEMS LTD.,,,,,,,
32.107.478B91.652.000.360.5213.179.579B232.947M8.67%5.083M3.985M3.395M3.264M,,,,,,,
"TLKDPT TELEKOMUNIKASI INDONESIA, TBK DR",,,,,,,
25.0124.254B17.552.671.441.445.5427.72B990.622M8.64%519.329K442.957K321.771K279.045K,,,,,,,
H,,,,,,,
"HSDTDHELIUS MEDICAL TECHNOLOGIES, INC.",,,,,,,
13.8532.095M—50.62−9.01−11.80—25.395M2.317M8.63%16.221K22.664K66.57K68.218K,,,,,,,
PLTRDPALANTIR TECHNOLOGIES INC.,,,,,,,
24.4645.905B—36.33−0.71−0.65—40.491B1.877B8.61%60.695M62.813M60.046M76.301M,,,,,,,
I,,,,,,,
IVADINVENTIVA S.A. - AMERICAN DEPOSITORY SHARES DR,,,,,,,
14.88541.635M—1235.86−1.13−1.13——38.388M8.58%9.464K10.373K19.943K26.419K,,,,,,,
STNDSTANTEC INC,,,,,,,
44.444.963B34.491.361.301.209.955.639B111.686M8.58%38.481K53.026K57.428K69.938K,,,,,,,
A,,,,,,,
AVNTDAVIENT CORPORATION,,,,,,,
51.584.709B26.871.301.951.4514.685.731B91.297M8.57%272.08K328.548K423.611K471.793K,,,,,,,
V,,,,,,,
"VLRSDCONTROLADORA VUELA COMPANIA DE AVIACION, S.A.B. DE C.V. DR",,,,,,,
16.731.805B—1.89−0.16−0.2029.383.657B105.895M8.57%719.001K532.506K523.614K545.941K,,,,,,,
"GPSDGAP, INC. (THE)",,,,,,,
31.3511.838B28.010.781.15−1.7837.6917.668B377.602M8.55%8.952M7.238M6.503M6.777M,,,,,,,
"ALNYDALNYLAM PHARMACEUTICALS, INC.",,,,,,,
150.4617.686B—29.86−7.55−7.46—16.439B117.545M8.54%563.958K519.403K494.194K552.858K,,,,,,,
ERICDERICSSON DR,,,,,,,
13.1043.782B20.771.670.630.579.6142.564B3.066B8.53%5.465M5.364M6.12M6.678M,,,,,,,
B,,,,,,,
BRIDDBRIDGFORD FOODS CORPORATION,,,,,,,
16.41148.951M31.520.700.520.8117.93161.907M9.077M8.53%6.189K19.781K12.465K9.793K,,,,,,,
V,,,,,,,
VREXDVAREX IMAGING CORPORATION,,,,,,,
25.34995.869M—1.39−1.47−1.4938.431.228B39.3M8.52%190.296K264.025K276.122K314.764K,,,,,,,
KODCOCA-COLA COMPANY (THE),,,,,,,
56.04241.627B33.707.271.681.7924.92261.739B4.312B8.52%18.937M14.813M15.557M16.022M,,,,,,,
NFGDNATIONAL FUEL GAS COMPANY,,,,,,,
53.924.916B56.823.210.96−1.419.017.128B91.173M8.49%248.574K329.384K336.811K377.006K,,,,,,,
S,,,,,,,
"SMBKDSMARTFINANCIAL, INC.",,,,,,,
24.79374.445M11.832.702.081.62—407.214M15.105M8.49%22.55K32.947K35.781K38.634K,,,,,,,
SODSOUTHERN COMPANY (THE),,,,,,,
64.6767.993B20.263.233.202.9313.21122.62B1.057B8.49%3.726M3.997M3.945M3.929M,,,,,,,
P,,,,,,,
"PDDPAGERDUTY, INC.",,,,,,,
36.973.089B—12.90−0.99−0.87—3.274B83.558M8.48%1.819M1.452M1.41M1.444M,,,,,,,
AIMDAIM IMMUNOTECH INC.,,,,,,,
2.18104.276M—667.11−0.37−0.45—56.806M47.833M8.46%528.719K547.771K634.733K1.912M,,,,,,,
P,,,,,,,
PSNDPARSONS CORPORATION,,,,,,,
39.904.086B44.751.190.940.9713.925.041B102.409M8.45%382.119K404.364K459.327K467.628K,,,,,,,
I,,,,,,,
"IROQDIF BANCORP, INC.",,,,,,,
22.7873.8M12.082.251.891.35—70.427M3.24M8.45%2.488K3.416K3.649K3.538K,,,,,,,
NVRODNEVRO CORP.,,,,,,,
151.745.277B—14.19−2.56−2.47—4.59B34.776M8.42%291.219K414.077K457.371K431.417K,,,,,,,
OTEXDOPEN TEXT CORPORATION,,,,,,,
48.8213.338B81.553.810.600.8512.6915.449B273.198M8.42%575.67K613.72K525.063K553.273K,,,,,,,
H,,,,,,,
HOFTDHOOKER FURNITURE CORPORATION,,,,,,,
40.25479.185M14.610.822.85−0.897.90421.835M11.905M8.40%76.728K49.608K56.09K50.03K,,,,,,,
MRCYDMERCURY SYSTEMS INC,,,,,,,
66.403.729B51.444.131.301.5628.464.13B56.161M8.39%291.71K602.635K485.777K492.79K,,,,,,,
P,,,,,,,
PCSBDPCSB FINANCIAL CORPORATION,,,,,,,
18.74299.207M23.324.580.800.60—181.418M15.966M8.39%40.817K39.871K39.108K40.767K,,,,,,,
KOFDCOCA COLA FEMSA S.A.B. DE C.V. DR,,,,,,,
50.812.608B—9.770.360.3735.9079.944B52.521M8.38%252.168K213.345K186.74K177.059K,,,,,,,
HCMDHUTCHMED (CHINA) LIMITED DR,,,,,,,
30.534.432B———−0.90——148.903M8.38%293.256K254.75K205.449K244.893K,,,,,,,
O,,,,,,,
OSPNDONESPAN INC.,,,,,,,
26.011.047B—4.86−0.37−0.1493.17876.356M40.265M8.38%135.498K167.797K185.328K218.762K,,,,,,,
"WECDWEC ENERGY GROUP, INC.",,,,,,,
93.5629.512B23.553.783.993.7915.9544.442B315.435M8.37%1.318M1.249M1.272M1.328M,,,,,,,
I,,,,,,,
"ISEEDIVERIC BIO, INC.",,,,,,,
6.60595.684M——−1.16−1.14—396.567M90.255M8.37%582.969K684.389K560.279K583.188K,,,,,,,
"STZDCONSTELLATION BRANDS, INC.",,,,,,,
239.0846.383B26.246.0410.439.2217.5157.413B191.64M8.36%865.715K1.016M1.066M1.098M,,,,,,,
"FLODFLOWERS FOODS, INC.",,,,,,,
25.165.327B23.281.231.080.7210.486.18B211.719M8.35%1.445M1.275M1.099M1.079M,,,,,,,
P,,,,,,,
PTRSDPARTNERS BANCORP,,,,,,,
8.05142.7M32.752.210.240.32—176.578M17.727M8.34%18.856K31.104K29.465K31.254K,,,,,,,
JPMDJP MORGAN CHASE & CO.,,,,,,,
165.66501.474B13.213.7312.628.88—1.118T3.027B8.34%11.018M11.724M14.02M13.783M,,,,,,,
"AMZNDAMAZON.COM, INC.",,,,,,,
3198.011.613T61.023.9253.5941.8341.391.614T504.324M8.34%2.425M3.817M3.456M3.568M,,,,,,,
"NTCTDNETSCOUT SYSTEMS, INC.",,,,,,,
30.162.224B118.322.710.260.2612.902.053B73.753M8.33%396.864K443.386K401.813K430.808K,,,,,,,
TCPCDBLACKROCK TCP CAPITAL CORP.,,,,,,,
14.95863.621M4.865.203.051.2312.881.768B57.767M8.33%221.409K241.779K289.499K294.08K,,,,,,,
"PTONDPELOTON INTERACTIVE, INC.",,,,,,,
109.7932.75B164.668.250.74−0.32163.3432.013B298.293M8.33%11.004M19.132M13.792M12.104M,,,,,,,
WBKDWESTPAC BANKING CORPORATION DR,,,,,,,
20.7076.148B24.364.130.920.43——3.664B8.32%89.103K106.205K101.217K110.017K,,,,,,,
K,,,,,,,
"KVHIDKVH INDUSTRIES, INC.",,,,,,,
14.09264.338M—1.53−1.11−1.24—201.219M18.761M8.30%62.447K79.726K92.622K101.27K,,,,,,,
A,,,,,,,
AGCDALTIMETER GROWTH CORP.,,,,,,,
11.89743.125M———−2.10—836.887M62.5M8.29%576.312K1.116M1.841M1.368M,,,,,,,
N,,,,,,,
NTICDNORTHERN TECHNOLOGIES INTERNATIONAL CORPORATION,,,,,,,
17.65160.697M—3.78−0.02−0.15—151.087M9.105M8.28%9.292K12.827K17.23K21.294K,,,,,,,
M,,,,,,,
MNKDDMANNKIND CORPORATION,,,,,,,
3.93979.188M—13.42−0.26−0.26—1.029B249.157M8.26%4.953M3.592M4.071M5.442M,,,,,,,
R,,,,,,,
"RDVTDRED VIOLET, INC.",,,,,,,
21.93268.462M—7.61−0.50−0.57—216.44M12.242M8.24%28.993K41.895K44.048K47.178K,,,,,,,
C,,,,,,,
CAPLDCROSSAMERICA PARTNERS LP,,,,,,,
19.45736.666M23.130.330.832.878.241.421B37.875M8.24%77.273K82.083K76.19K77.161K,,,,,,,
S,,,,,,,
"SIBNDSI-BONE, INC.",,,,,,,
31.321.028B—12.88−1.43−1.50—894.411M32.832M8.22%281.154K245.47K294.312K268.576K,,,,,,,
CMCDCOMMERCIAL METALS COMPANY,,,,,,,
32.773.949B14.920.702.202.324.733.855B119.069M8.22%844.39K856.624K1.038M1.249M,,,,,,,
QCOMDQUALCOMM INCORPORATED,,,,,,,
133.32150.385B19.265.267.094.5217.87157.28B1.128B8.21%6.929M9.345M9.391M10.643M,,,,,,,
"CATDCATERPILLAR, INC.",,,,,,,
239.76131.337B38.993.136.315.4617.23154.726B547.787M8.20%2.351M2.848M2.984M3.079M,,,,,,,
M,,,,,,,
MSPDDATTO HOLDING CORP.,,,,,,,
26.254.233B———0.1436.683.669B161.276M8.20%414.113K352.04K368.649K413.678K,,,,,,,
AAPLDAPPLE INC,,,,,,,
125.902.101T28.256.554.503.2826.052.104T16.688B8.20%70.684M85.426M90.66M97.29M,,,,,,,
V,,,,,,,
VVIDVIAD CORP,,,,,,,
48.961.003B—6.53−16.55−18.64—1.489B20.484M8.17%118.968K105.799K110.444K137.77K,,,,,,,
"ELDESTEE LAUDER COMPANIES, INC. (THE)",,,,,,,
302.96109.827B80.877.613.821.8626.98109.483B362.512M8.17%1.091M1.364M1.286M1.385M,,,,,,,
S,,,,,,,
"SPKEDSPARK ENERGY, INC.",,,,,,,
11.12393.951M17.430.320.641.482.66304.296M14.627M8.17%183.635K193.51K170.457K210.835K,,,,,,,
B,,,,,,,
BKSCDBANK OF SOUTH CAROLINA CORP.,,,,,,,
20.01110.548M16.925.361.221.14—81.655M5.525M8.16%3.615K4.921K9.97K9.844K,,,,,,,
R,,,,,,,
"RNDBDRANDOLPH BANCORP, INC.",,,,,,,
22.17117.631M4.631.384.873.86—161.669M5.306M8.15%5.64K7.951K10.15K10.76K,,,,,,,
LILAKDLIBERTY LATIN AMERICA LTD.,,,,,,,
14.513.391B—0.93−2.25−3.517.4911.491B234.087M8.12%518.988K522.494K589.368K706.2K,,,,,,,
"BNGODBIONANO GENOMICS, INC.",,,,,,,
8.401.916B—172.10−0.27−0.39—1.785B278.85M8.11%24.506M26.439M23.774M28.593M,,,,,,,
V,,,,,,,
VTVTDVTV THERAPEUTICS INC.,,,,,,,
2.54206.014M—19.10−0.16−0.18—214.246M58.014M8.09%1.359M1.25M5.625M5.592M,,,,,,,
F,,,,,,,
FSEADFIRST SEACOAST BANCORP,,,,,,,
9.7058.483M31.693.020.300.18—73.881M6.029M8.08%4.269K2.745K3.919K3.716K,,,,,,,
R,,,,,,,
"RBKBDRHINEBECK BANCORP, INC.",,,,,,,
10.57117.679M14.102.160.760.55—72.23M11.133M8.08%28.76K11.707K7.92K8.786K,,,,,,,
"EGBNDEAGLE BANCORP, INC.",,,,,,,
58.221.861B12.184.384.764.09—2.261B31.962M8.07%128.174K139.901K134.497K130.612K,,,,,,,
"PRODPROS HOLDINGS, INC.",,,,,,,
48.082.128B—8.55−1.75−1.78—1.892B44.253M8.04%346.589K312.796K283.422K297.605K,,,,,,,
B,,,,,,,
"BIGCDBIGCOMMERCE HOLDINGS, INC. - SERIES 1",,,,,,,
60.984.213B—23.44−0.64−0.55—3.869B70.296M8.04%1.133M1.325M1.322M1.727M,,,,,,,
T,,,,,,,
TESSDTESSCO TECHNOLOGIES INCORPORATED,,,,,,,
7.5466.564M—0.15−1.01−1.01—106.729M8.828M8.02%10.074K10.742K18.078K35.352K,,,,,,,
PEGADPEGASYSTEMS INC.,,,,,,,
123.9210.071B—9.11−0.53−0.76—9.459B81.267M8.02%339.211K316.403K328.195K354.195K,,,,,,,
MASDMASCO CORPORATION,,,,,,,
59.2415.034B20.062.032.992.3211.3317.933B253.786M8.00%1.775M1.833M1.829M1.897M,,,,,,,
M,,,,,,,
MNDODMIND C.T.I. LTD.,,,,,,,
3.2464.756M11.392.770.290.276.2137.808M19.986M8.00%64.304K49.773K70.672K80.459K,,,,,,,
I,,,,,,,
IMCRDIMMUNOCORE HOLDINGS PLC DR,,,,,,,
40.081.71B—————1.293B43.786M8.00%36.851K45.86K72.038K—,,,,,,,
B,,,,,,,
BANXDSTONECASTLE FINANCIAL CORP,,,,,,,
22.07145.772M18.7213.181.191.1918.14167.699M6.572M8.00%16.815K18.96K24.502K21.028K,,,,,,,
A,,,,,,,
"ATNMDACTINIUM PHARMACEUTICALS, INC. (DELAWARE)",,,,,,,
8.51171.858M—245.20−1.43−1.83—68.354M20.195M7.99%228.925K168.697K223.799K285.241K,,,,,,,
"PNCDPNC FINANCIAL SERVICES GROUP, INC. (THE)",,,,,,,
193.1182.044B10.114.7719.2016.98—98.58B424.858M7.99%1.394M1.614M1.796M1.812M,,,,,,,
R,,,,,,,
"RICKDRCI HOSPITALITY HOLDINGS, INC.",,,,,,,
72.98656.813M86.745.210.84−0.6613.16710.234M9M7.99%62.222K82.41K82.22K90.23K,,,,,,,
H,,,,,,,
"HBMDDHOWARD BANCORP, INC.",,,,,,,
16.90317.423M—3.30−0.76−0.91—576.083M18.782M7.99%12.419K15.694K18.496K19.054K,,,,,,,
"PVGDPRETIUM RESOURCES, INC.",,,,,,,
10.842.036B—3.01−0.09−0.226.542B187.831M7.97%879.453K1.045M1.12M1.29M,,,,,,,
SPXCDSPX CORPORATION,,,,,,,
62.232.816B27.131.822.362.2016.113.043B45.254M7.96%98.392K120.187K156.678K175.39K,,,,,,,
R,,,,,,,
"RNADAVIDITY BIOSCIENCES, INC.",,,,,,,
24.00902.766M—103.06−1.66−2.05—511.37M37.615M7.96%154.952K188.791K287.203K325.067K,,,,,,,
W,,,,,,,
WINADWINMARK CORPORATION,,,,,,,
199.16737.252M23.8411.518.537.7217.72740.543M3.702M7.95%8.846K9.461K11.26K12.878K,,,,,,,
C,,,,,,,
CALTDCALLIDITAS THERAPEUTICS AB DR,,,,,,,
30.16727.091M—15827.15−2.33−2.10—593.189M24.971M7.95%12.123K40.254K39.419K39.181K,,,,,,,
J,,,,,,,
"JIHDJUNIPER INDUSTRIAL HOLDINGS, INC.",,,,,,,
13.19568.819M——−1.41−0.68—533.891M43.125M7.94%271.717K230.038K346.643K478.268K,,,,,,,
F,,,,,,,
"FSFGDFIRST SAVINGS FINANCIAL GROUP, INC.",,,,,,,
73.38174.279M3.430.9921.5314.04—592.48M2.375M7.93%5.29K8.587K8.158K6.551K,,,,,,,
BIPDBROOKFIELD INFRASTRUCTURE PARTNERS LP LIMITED PARTNERSHIP,,,,,,,
55.7523.27B133.611.750.420.3115.4257.795B295.437M7.92%201.094K231.347K231.766K282.443K,,,,,,,
PAASDPAN AMERICAN SILVER CORP.,,,,,,,
32.086.746B26.224.821.230.8912.496.135B210.281M7.90%2.16M2.684M2.371M2.943M,,,,,,,
INFYDINFOSYS LIMITED DR,,,,,,,
19.4080.85B31.41—0.620.61——4.261B7.90%5.893M5.644M6.96M7.444M,,,,,,,
S,,,,,,,
"SGHDSMART GLOBAL HOLDINGS, INC.",,,,,,,
47.401.131B73.591.030.67−0.057.401.274B23.85M7.87%194.391K316.925K336.509K296.196K,,,,,,,
H,,,,,,,
HAFCDHANMI FINANCIAL CORPORATION,,,,,,,
21.24651.955M11.582.471.841.38—275.938M30.695M7.87%133.828K144.976K170.742K201.357K,,,,,,,
T,,,,,,,
TRECDTRECORA RESOURCES,,,,,,,
8.36207.959M13.641.060.651.239.12201.359M24.875M7.87%94.876K117.873K117.657K113.77K,,,,,,,
A,,,,,,,
"ARVNDARVINAS, INC.",,,,,,,
74.573.653B—162.31−3.28−3.02—2.57B48.988M7.87%448.439K360.884K390.595K405.958K,,,,,,,
OLEDDUNIVERSAL DISPLAY CORPORATION,,,,,,,
215.4910.158B69.7522.603.092.8052.0010.492B47.14M7.85%214.485K340.036K356.128K382.011K,,,,,,,
A,,,,,,,
AVDLDAVADEL PHARMACEUTICALS PLC DR,,,,,,,
8.12461.782M—45.35−0.060.13—467.017M58.488M7.84%190.472K272.28K264.401K414.685K,,,,,,,
CNMDDCONMED CORPORATION,,,,,,,
132.633.858B342.844.800.460.3231.214.806B29.092M7.82%208.186K285.535K280.469K272.96K,,,,,,,
MGRCDMCGRATH RENTCORP,,,,,,,
85.122.061B20.693.644.114.167.932.183B24.218M7.82%72.192K73.909K82.771K85.26K,,,,,,,
D,,,,,,,
"DTDDYNATRACE, INC.",,,,,,,
51.6214.642B192.7720.850.270.2690.8314.011B283.654M7.81%1.265M1.462M1.569M1.999M,,,,,,,
NPODENPRO INDUSTRIES INC,,,,,,,
97.312.004B—1.87−0.78−1.2113.232.084B20.599M7.80%73.824K73.389K80.713K89.395K,,,,,,,
LBRDADLIBERTY BROADBAND CORPORATION,,,,,,,
157.4330.377B63.88105.962.502.17—32.166B189.285M7.79%96.382K76.836K92.258K93.344K,,,,,,,
S,,,,,,,
SIIDSPROTT INC.,,,,,,,
44.191.102B37.667.501.261.1014.87945.228M24.937M7.78%54.139K80.31K99.228K126.897K,,,,,,,
F,,,,,,,
"FGBIDFIRST GUARANTY BANCSHARES, INC.",,,,,,,
19.87193.554M9.251.602.212.09—-51.236M9.741M7.75%10.479K14.155K13.038K11.775K,,,,,,,
N,,,,,,,
"NGSDNATURAL GAS SERVICES GROUP, INC.",,,,,,,
11.12151.354M—2.14−0.200.144.4494.949M13.611M7.75%30.692K30.679K34.317K42.187K,,,,,,,
UNMDUNUM GROUP,,,,,,,
31.726.479B8.170.483.853.89—9.045B204.241M7.74%1.592M1.787M2.093M2.304M,,,,,,,
H,,,,,,,
"HNGRDHANGER, INC.",,,,,,,
25.84995.908M19.870.991.330.9911.211.447B38.541M7.71%123.493K168.037K170.028K160.632K,,,,,,,
"IBPDINSTALLED BUILDING PRODUCTS, INC.",,,,,,,
119.303.543B36.012.093.353.2713.293.703B29.697M7.71%256.879K281.195K246.545K240.763K,,,,,,,
MUSADMURPHY USA INC.,,,,,,,
135.383.645B11.290.3312.3113.086.515.879B26.924M7.71%243.742K289.089K302.496K296.853K,,,,,,,
T,,,,,,,
"TAYDDTAYLOR DEVICES, INC.",,,,,,,
11.8441.287M20.981.800.570.875.3121.432M3.489M7.69%2.939K4.462K6.519K6.709K,,,,,,,
"CAHDCARDINAL HEALTH, INC.",,,,,,,
58.9017.09B14.480.113.93−12.617.1521.097B290.148M7.68%2.225M2.396M2.076M2.107M,,,,,,,
"FLDFOOT LOCKER, INC.",,,,,,,
61.246.325B10.240.76—3.075.097.391B103.278M7.67%1.255M1.511M1.418M1.644M,,,,,,,
"MODALTRIA GROUP, INC.",,,,,,,
50.4993.439B21.364.472.332.408.96119.009B1.851B7.65%6.415M7.091M9.744M9.501M,,,,,,,
CMADCOMERICA INCORPORATED,,,,,,,
77.6910.847B12.613.726.223.28—12.297B139.613M7.65%1.208M1.348M1.541M1.455M,,,,,,,
Q,,,,,,,
QADBDQAD INC.,,,,,,,
48.651.457B106.723.85—0.4440.961.138B24.187M7.63%1.058K1.365K1.363K1.858K,,,,,,,
AONDAON PLC,,,,,,,
247.5255.852B27.425.039.208.4417.5059.828B225.647M7.62%1.451M1.689M1.674M1.687M,,,,,,,
"WMSDADVANCED DRAINAGE SYSTEMS, INC.",,,,,,,
111.307.968B41.813.992.642.5916.788.438B71.592M7.58%444.115K420.27K467.486K484.967K,,,,,,,
JAMFDJAMF HOLDING CORP.,,,,,,,
36.354.279B—14.51−0.15−0.2181.663.95B117.725M7.58%551.331K485.7K450.563K500.327K,,,,,,,
C,,,,,,,
CVVDCVD EQUIPMENT CORPORATION,,,,,,,
4.4129.478M—2.01−1.39−0.91—27.536M6.684M7.56%33.75K33.174K34.534K60.13K,,,,,,,
C,,,,,,,
"CCAPDCRESCENT CAPITAL BDC, INC.",,,,,,,
18.40518.279M3.387.815.351.9811.50954.311M28.167M7.54%30.872K26.415K27.982K27.476K,,,,,,,
"FFINDFIRST FINANCIAL BANKSHARES, INC.",,,,,,,
